Name,Age Rating,Game Id,Install size,Platforms,Sources
Advent Rising,PEGI 12,3800,,PC (Windows),Steam
Europa Universalis: Rome Gold,PEGI 12,1428928921,,PC (Windows),GOG
Shadow Tactics: Blades of the Shogun,PEGI 16,Fangtooth,,PC (Windows),Epic
Control Craft 3,,17318255,,PC (Windows),Indiegala
Tales of Monkey Island: Chapter 1 - Launch of the Screaming Narwhal,PEGI 12,31170,,PC (Windows),Steam
Choplifter HD,PEGI 16,202070,,PC (Windows),Steam
Syzygy,,syzygy_Syzygy,,,Humble
Maneater,PEGI 18,629820,,PC (Windows),Steam
Overcooked!,,a3f5ee11-7f45-4cf2-9dd9-642fb2597124,,PC (Windows),Amazon
Unrailed,,76233c0af0a441c7bd541e7d7ab3cde1,,PC (Windows),Epic
Candle,,473dded6-92f7-48ee-90f3-a0209a90e2ce,,PC (Windows),Amazon
Call of Duty: WWII - Multiplayer,,476620,,PC (Windows),Steam
A Game with a Kitty 1 & 2,,2055490,,PC (Windows),Steam
King of Seas,PEGI 7,1105915912,,PC (Windows),GOG
Multiwinia,,1530,,PC (Windows),Steam
SteamWorld Dig 2,,571310,,PC (Windows),Steam
Mini Ninjas,PEGI 7,35000,,PC (Windows),Steam
Alien Breed: Impact,PEGI 16,1905791638,,PC (Windows),GOG
Operation Flashpoint: Red River,PEGI 18,44340,,PC (Windows),Steam
Ninja Senki DX,PEGI 7,405540,,PC (Windows),Steam
Zup! 6,,566160,,PC (Windows),Steam
Age of Wonders: Planetfall,,718850,,PC (Windows),Steam
The Seeker,,18797970,,PC (Windows),Indiegala
Grime,,amzn1.adg.product.a533b569-f163-4ad9-b0dc-e6c069695a72,,PC (Windows),Amazon
Dwerve: Prologue,,1710920,,PC (Windows),Steam
Spellcaster University,,895620,,PC (Windows),Steam
Divine Divinity,PEGI 7,214170,,PC (Windows),Steam
Splotches,PEGI 3,373640,,PC (Windows),Steam
Popup Dungeon Sneak Peek,,popupdungeon_sneakpeek_Popup Dungeon Sneak Peek,,,Humble
Luna Online: Reborn,,457590,,PC (Windows),Steam
Ruin Raiders - Unknown Menace,,ruinraiders_unknownmenace_trove,,PC (Windows),Humble
Portal Knights,PEGI 7,374040,,PC (Windows),Steam
Bear With Me,,492630,,PC (Windows),Steam
Metal Slug 4,,amzn1.adg.product.c87cc6c3-cb97-4ca9-802e-6ea58470b973,,PC (Windows),Amazon
The Elder Scrolls Online,,306130,,PC (Windows),Steam
Star Wars: The Force Unleashed,,amzn1.adg.product.2bf7606d-d642-46ac-aae4-bb60175cfd2d,,PC (Windows),Amazon
Dungeons 3,,493900,,PC (Windows),Steam
Forsaken Remastered,,e294d86f-ac1e-451e-b8f2-89123f63246d,,PC (Windows),Amazon
Swallow the Sea,,1511860,,PC (Windows),Steam
Grand Theft Auto V,,9d2d0eb64d5c44529cece33fe2a46482,,PC (Windows),Epic
Death penalty: Beginning ,,570380,,PC (Windows),Steam
Tales From Off-Peak City Vol. 1,,talesfromoffpeakcity_vol1_trove,,PC (Windows),Humble
Bullet Runner: The First Slaughter,,1619245923,,PC (Windows),GOG
Stubbs the Zombie in Rebel Without a Pulse,PEGI 18,272d51db75be476f9ad60c0e7fc24470,,PC (Windows),Epic
Whispers of a Machine,PEGI 12,631570,,PC (Windows),Steam
Streamline,,d229a310-2468-4f0c-b49b-4a6dcdd47809,,PC (Windows),Amazon
NARUTO TO BORUTO: SHINOBI STRIKER,PEGI 12,633230,,PC (Windows),Steam
Tropico 5,PEGI 16,e4867c438f854da5a1d1f8c8609cac22,,PC (Windows),Epic
The Surge,PEGI 18,378540,,PC (Windows),Steam
Loom,,amzn1.adg.product.52e7d981-3b76-4ece-b8b7-b998e13b935f,,PC (Windows),Amazon
Portal 2,PEGI 12,620,,PC (Windows),Steam
Zup!,,533300,,PC (Windows),Steam
Blair Witch,PEGI 16,247a0f0f5803429eb3be2c06f3ea77ff,,PC (Windows),Epic
Iron Sky Invasion,PEGI 12,224900,,PC (Windows),Steam
Might & Magic - Chess Royale,,5613,,PC (Windows),Ubisoft Connect
Heeey! Park-Boy,,heeeyparkboy_trove,,PC (Windows),Humble
Pool Panic,PEGI 3,522240,,PC (Windows),Steam
SkyScrappers,PEGI 12,403460,,PC (Windows),Steam
Fistful of Nothing,,fistfulofnothing_trove,,PC (Windows),Humble
Gyossait Deluxe Edition,,6342,,PC (Windows),itch.io
Hard Place,,11872852,,PC (Windows),Indiegala
Slipstream,,732810,,PC (Windows),Steam
Sanctum,,91600,,PC (Windows),Steam
Chivalry: Medieval Warfare,PEGI 18,219640,,PC (Windows),Steam
Fahrenheit: Indigo Prophecy Remastered,,amzn1.adg.product.6ed13be7-1d52-42b0-af03-9f487492ae93,,PC (Windows),Amazon
"Viking's drakkars",,825610,,PC (Windows),Steam
Escape from Deathmark Dungeon,,1954010,,PC (Windows),Steam
Intelligent Design: An Evolutionary Sandbox,,627620,,PC (Windows),Steam
Killer is Dead,PEGI 18,261110,,PC (Windows),Steam
Batman: Arkham Origins Blackgate - Deluxe Edition,PEGI 16,267490,,PC (Windows),Steam
Majesty 2 Collection,,73020,,PC (Windows),Steam
Europa Universalis IV,PEGI 12,236850,,PC (Windows),Steam
The Momo Game,,954530,,PC (Windows),Steam
ToeJam & Earl: Back in the Groove!,,bf8a5cc7-9776-455c-b49a-d00756b14b28,,PC (Windows),Amazon
Half-Life 2: Episode One,PEGI 16,380,,PC (Windows),Steam
The Corridor,,thecorridor_trove,,PC (Windows),Humble
Dungeons 2,PEGI 16,1436885138,,PC (Windows),GOG
Hell Division,,1321737474,,PC (Windows),GOG
Costume Quest 2,PEGI 7,82a78a4dd6ef4eaa892707791b705073,,PC (Windows),Epic
Borderlands 3,PEGI 18,Catnip,,PC (Windows),Epic
Perfect Heist,,787040,,PC (Windows),Steam
International Snooker,,299500,,PC (Windows),Steam
Star Trek Online,,0fb6e06aacd14e88b1aaea8f54dd8525,,PC (Windows),Epic
DreamFly,,1127170,,PC (Windows),Steam
Fluffy Creatures VS The World,,619400,,PC (Windows),Steam
Kona,PEGI 16,365160,,PC (Windows),Steam
"Symphonia (Student Project, 2020)",,2069516170,,PC (Windows),GOG
Pixel Gladiator,"PEGI 12, PEGI 7",542400,,PC (Windows),Steam
Jet Gunner,,314250,,PC (Windows),Steam
Between the Stars,,727130,,PC (Windows),Steam
"Cook, Serve, Delicious! 3?!",,amzn1.adg.product.532703ea-5b40-42c1-85ce-bb5748d46761,,PC (Windows),Amazon
A Plague Tale: Innocence,,752590,,PC (Windows),Steam
Castle Clicker,,704040,,PC (Windows),Steam
Sonic Mania,,584400,,PC (Windows),Steam
Forager,,751780,,PC (Windows),Steam
Chicken Assassin,,45968b2c-5597-4a94-b3a8-e18b77b8fb49,,PC (Windows),Amazon
Divinoids,,divinoids_Divinoids,,,Humble
Maid of Sker,,826940,,PC (Windows),Steam
Poi,,a505a548-6544-4468-8bc3-9c174299b155,,PC (Windows),Amazon
Influent,,274980,,PC (Windows),Steam
Stubbs the Zombie in Rebel Without a Pulse,,7800,,PC (Windows),Steam
Contract With The Devil,,12594412,,PC (Windows),Indiegala
Godfall,PEGI 16,Carp,,PC (Windows),Epic
F1 2020,,1080110,,PC (Windows),Steam
Bionic Dues,,238910,,PC (Windows),Steam
Slime Rancher,PEGI 3,Corydalis,,PC (Windows),Epic
Heart Lake心湖,,2014980,,PC (Windows),Steam
Tiny Robots Recharged,,amzn1.adg.product.20b87aa4-24b1-444b-80d0-8a5cbc277c56,,PC (Windows),Amazon
Serious Sam HD: The First Encounter,,41000,,PC (Windows),Steam
Heave Ho,,905340,,PC (Windows),Steam
Wreck the Fed,,2026460,,PC (Windows),Steam
Disco Elysium,,632470,,PC (Windows),Steam
Project Mercury,,702150,,PC (Windows),Steam
Lost Man,,157118,,PC (Windows),itch.io
Ancient Enemy,,a96de508ac71471fa05e7c1c695e3b5d,,PC (Windows),Epic
Rising Storm 2: Vietnam,,418460,,PC (Windows),Steam
Game Dev Tycoon,PEGI 3,239820,,PC (Windows),Steam
Summertime Madness,PEGI 3,summertimemadness_Summertime Madness,,,Humble
Prison Architect,PEGI 16,668ffa8fce0847ef9f1c005995cee6df,,PC (Windows),Epic
Pankapu,,c0792a8b-36a5-4899-b2ed-ab94416480fd,,PC (Windows),Amazon
Kingdom Come: Deliverance,,379430,,PC (Windows),Steam
ONE PIECE PIRATE WARRIORS 3,PEGI 12,331600,,PC (Windows),Steam
HunieCam Studio,,426000,,PC (Windows),Steam
SkyDrift,,2d05b80a-41fe-4da5-9e4d-db7ecfc7dae7,,PC (Windows),Amazon
Summertime Madness,PEGI 3,summertimemadness_trove,,PC (Windows),Humble
Batman: Arkham Asylum GOTY Edition,PEGI 12,35140,,PC (Windows),Steam
Grey Phobia,,465050,,PC (Windows),Steam
Splasher,,d1bce920-1ef8-4d24-aa39-081621e06256,,PC (Windows),Amazon
Chroma Squad,,2ee6b231-e74f-4d55-b04b-3acc8816d6b7,,PC (Windows),Amazon
Back to the Future: Ep 4 - Double Visions,,94520,,PC (Windows),Steam
SimCity 2000 Special Edition,PEGI 3,DR:235664600,,PC (Windows),EA app
Painters Guild,,384550,,PC (Windows),Steam
Shotgun King: The Final Checkmate,,1972440,,PC (Windows),Steam
